taxa,20230210_BC19,20230210_BC52,20230210_BC38,20230210_BC39,20230210_BC54,20230210_BC42,20230210_BC55,20230210_BC25,20230210_BC06,20230210_BC26,20230210_BC10,20230210_BC51,20230210_BC01,20230210_BC60,20230210_BC14,20230210_BC20,20230210_BC56,20230210_BC28,20230210_BC22,20230210_BC59,20230210_BC21,20230210_BC50,20230210_BC23,20230210_BC17,20230210_BC18,20230210_BC37,20230210_BC13,20230206_BC30,20230206_BC32,20230206_BC31,20230206_BC33,20230215_BC19,20230215_BC38,20230215_BC30,20230215_BC42,20230215_BC25,20230215_BC27,20230215_BC16,20230215_BC12,20230215_BC14,20230215_BC29,20230215_BC20,20230215_BC24,20230215_BC41,20230215_BC22,20230215_BC21,20230215_BC23,20230215_BC17,20230215_BC18,20230131_BC41,20230322_BC53,20230322_BC62,20230322_BC44,20230322_BC63,20230322_BC58,20230322_BC46,20230322_BC43,20230322_BC47,20230322_BC37
c__Desulfitobacteriia,0.0004785684560965,0.0031328642596682,0.0274345032130499,0.0003926278350039,0.0026994388008808,0.0065284066014312,0.0010056748796781,0.0037047446281202,0.0032214466887601,0.0011717063744938,0.0022087378640776,0.0058864991522679,0.0005374899220639,0.0050596586618335,0.0079783361966048,0.0,0.0016374269005847,3.813991628288376e-05,2.0002400288034563e-05,0.005675352338712,0.0,0.0152677089702157,6.859337845253338e-05,7.14013709063214e-05,0.0048717877943084,0.0058331713007972,0.0111346156999721,0.0005917816325775,0.000148137175024,0.0003926804366606,0.0,0.003517127679062,3.995046142782949e-05,0.0009083830781209,0.0041467780429594,0.0091619626574033,0.0004168258709923,0.001914987128775,0.00016077170418,0.0,0.005833310403654,0.0077955825032481,0.0008172837751403,0.0125962596259625,0.00887962319512,0.0017637461969222,0.0036537095300923,4.079634464751958e-05,0.009653747506412,5.730002292000917e-05,0.0,0.0126450390717499,0.0063456972078932,0.0102171136653895,0.0009183790609574,0.0,0.0104406715891454,0.0053595355069227,0.0013362552782083
c__Desulfotomaculia,8.322929671244278e-05,0.0005264239124852,0.0156832786590572,0.0001616702850016,0.0006393407686296,0.0015627282021323,0.000431003519862,0.0008686987403868,0.0008146187029048,0.0003905687914979,0.0005582524271844,0.000990608271579,9.772544037526568e-05,0.0015481045159341,0.0017470809189645,0.0,0.0005146198830409,3.813991628288376e-05,0.0,0.001502728254209,2.1670820240546106e-05,0.0107432963577605,4.572891896835559e-05,7.14013709063214e-05,0.001145491181098,0.0011666342601594,0.0028041521129532,7.397270407219736e-05,0.0,0.0,0.0,0.0007327349331379,0.0,0.0001730253482135,0.0010143198090692,0.0059487624837168,6.947097849873215e-05,0.0003453255478118,5.359056806002143e-05,0.0,0.0011831714497977,0.0020451373851113,0.00014213630872,0.002035203520352,0.0024322446143154,0.0003968428943075,0.000676612875943,0.0,0.0020304930179538,0.0,0.0,0.0026521430262846,0.0013919593875378,0.0024768760400944,0.0002869934565491,0.0,0.0030099233410149,0.0010421319041238,0.0004276016890266
c__Desulfovibrionia,0.0073033707865168,1.2839607621591084e-05,0.0044937761200736,0.0088687699200886,0.0012254031398735,1.4604936468526364e-05,0.0009517994396954,5.109992590510744e-05,0.00053690778146,4.111250436820359e-05,2.4271844660194176e-05,0.0,0.0020278028877867,0.0006041383476816,0.0001455900765803,0.0051542050565109,0.0009980506822612,0.0,0.0,0.0006711213562487,4.334164048109221e-05,0.0015197833871953,4.572891896835559e-05,0.0,0.0,0.000864173526044,0.0031321231203161,0.0036246624995376,0.0003703429375601,7.853608733212911e-05,0.0004032955003744,0.0115039384502656,0.0,2.162816852668916e-05,0.0044152744630071,0.0005210594876248,0.0125742471082705,0.0,0.0040728831725616,0.0006078719416442,0.0001375780755578,0.0006015109956209,0.0017411697818207,0.0036303630363036,3.860705737008725e-05,0.0010141540632303,0.0002029838627829,4.079634464751958e-05,0.0,0.0,0.0,0.0011366327255505,0.0002865798739048,0.002360772475715,0.0,0.0001929384526336,0.0004703005220335,0.000248126643839,0.000801753166925
c__Fusobacteriia,0.0141489804411152,7.703764572954651e-05,0.0092571788073518,0.0122638459051226,0.0484478226894935,0.062625967577041,7.183391997701315e-05,0.0211042693988093,0.0072204839575657,0.0001644500174728,0.0,0.0040386337225915,0.0139503066135691,0.0095906962694457,0.0006697143522697,0.0049520793680203,0.0023703703703703,5.720987442432564e-05,0.0012201464175701,0.002713664614397,0.009405135984397,0.0015023146126299,0.0017605633802816,0.0005950114242193,6.900549283722984e-05,0.0007777561734396,0.0001967826044177,0.0001479454081443,0.0,3.926804366606456e-05,0.0003456818574638,0.0171459974354277,7.990092285565899e-05,0.0082619603771952,0.0001193317422434,0.0016066000868432,0.0034388134356872,0.0006906510956237,0.0008574490889603,0.0003039359708221,0.0041548578818479,0.0025744670612578,0.002380783171061,0.002035203520352,0.0001544282294803,0.0045857401119978,0.0015900402584661,0.00016318537859,0.0592761470504417,0.0009168003667201,0.0004616805170821,0.000710395453469,0.014861213461066,0.3417701923449049,0.0004591895304787,0.0008682230368512,0.0024925927667779,0.0005458786164458,0.0010690042225666
c__Gammaproteobacteria,0.0867665418227216,0.0914308458733501,0.0236372623915876,0.1169338075661693,0.0872877743837465,0.1435519205491456,0.1061525752460311,0.1041671989575615,0.0607631496121304,0.0807655148313359,0.0350728155339805,0.0955174975711047,0.0607607925533214,0.1051578311433318,0.132865503887255,0.1459010594754838,0.1273606237816764,0.0795789353242369,0.0548465815897907,0.0598756966531469,0.0380322895221584,0.0598305528867149,0.1111898664715566,0.0229198400609291,0.0005520439426978,0.0784453518266467,0.1031632803660156,0.0986795872323112,0.1916154358936375,0.0303541977538679,0.1859768393155499,0.0454295658545521,0.030442251608006,0.0191841854831732,0.0778341288782816,0.0501953973078593,0.0460939942339087,0.0233251710931123,0.0603429796355841,0.1146345169950863,0.0882976088930468,0.0404937202252057,0.2085850330466917,0.0773377337733773,0.1077136900625434,0.2450725340623484,0.1727730978720525,0.0254161227154047,0.0370832145910515,0.0419436167774467,0.0196675900277008,0.0706606677717262,0.0988291165151887,0.0676883780332056,0.0278383652852714,0.0980127339378738,0.061891548699619,0.2224703488660612,0.1407878561120316
c__Negativicutes,0.0301914273824386,0.0332545837399209,0.011346784703186,0.0067439604600674,0.0129821694963415,0.0244632685847816,0.0531211838230012,0.0296635069879148,0.0248828985614574,0.0075852570559335,0.0726213592233009,0.0337949821881012,0.0205467738388996,0.0181619090771786,0.058206912616836,0.0619852111371254,0.0143001949317738,0.0190222832460882,0.1474376925231027,0.0863558110355694,0.0182468306425398,0.1399598218184994,0.0158679348820193,0.0352722772277227,0.0001794142813767,0.0266165446021561,0.0339613978124333,0.0122424825239486,0.006295829938523,0.0039268043666064,0.009621478366077,0.0277340172192709,0.2087411609604091,0.0033739942901635,0.0611575178997613,0.2183239253148067,0.015561499183716,0.2012620079110943,0.0174169346195069,0.1706093916214984,0.0006053435324546,0.0004812087964967,0.0558595693269845,0.0504400440044004,0.040305767894371,0.000793685788615,0.0307520552116106,0.0633159268929503,0.0208036477628954,0.0198831079532431,0.0007848568790397,0.0130712763438313,0.0517071972488332,0.003018692673865,0.0723797497417058,0.0334748215319313,0.0730376710718148,0.0112153243015234,0.0295579667539686
c__TC1,2.0807324178110692e-05,0.0,0.0001797510448029,0.0,0.0,2.9209872937052725e-05,0.0,0.0,3.702812285931165e-05,2.0556252184101795e-05,2.4271844660194176e-05,1.9050159068828224e-05,0.0,1.88793233650506e-05,5.823603063215211e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0001222814219582,0.0,0.0,0.0,4.320867630220148e-05,3.2797100736294914e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.139323161926289e-05,0.0,0.0,2.751561511157582e-05,2.406043982484e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.5622684525505844e-05,0.0,0.0,0.0,8.187996397281586e-05,3.8701188126475485e-05,0.0,0.0,4.703005220335794e-05,0.0,0.0
c__Vampirovibrionia,4.161464835622139e-05,0.0,0.0,0.0,8.879732897634439e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019068116598701,0.0,0.0,0.0005302144249512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010154038931017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.359056806002143e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c__Verrucomicrobiae,8.322929671244278e-05,0.0,0.0,0.0,0.0,1.4604936468526364e-05,0.0,2.554996295255372e-05,1.8514061429655825e-05,0.0,0.0,0.0,7.329408028144927e-05,0.0,5.823603063215211e-05,6.737522949687547e-05,0.0,9.53497907072094e-06,0.0,0.0,0.0,8.734387282732117e-05,0.0,0.0001904036557501,2.7602197134891935e-05,2.160433815110074e-05,1.6398550368147457e-05,0.0007027406886858,7.406858751203614e-05,0.0013351134846461,0.0,0.0,0.0,0.0,8.949880668257756e-05,8.684324793747286e-05,6.947097849873215e-05,0.0,0.00021436227224,0.0,0.0,4.812087964968e-05,0.0,0.0001650165016501,0.0,0.0,0.0,0.0,3.5622684525505844e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.703005220335794e-05,0.0,0.0
f__Acetivibrionaceae,0.0010195588847274,0.0001283960762159,0.0039545229856648,0.0020786179500207,0.0004617461106769,4.381480940557909e-05,0.0,0.000281049592478,0.00053690778146,0.0,9.70873786407767e-05,0.0002667022269635,0.0011727052845031,0.0014725872224739,2.9118015316076056e-05,0.0008085027539625,0.0002027290448343,9.53497907072094e-05,0.0,0.000248023109918,6.501246072163831e-05,0.0002969691676128,0.0,0.0004522086824067,0.0003312263656187,0.0005185041156264,0.0012462898279792,0.0008506860968302,0.000148137175024,0.0038090002356082,0.0001152272858212,0.0003663674665689,0.0,0.0322475992732935,0.0018198090692124,0.0036039947894051,0.0043419361561707,3.139323161926289e-05,0.00010718113612,0.0,0.0117491676526428,0.000288725277898,0.0003553407718001,0.0007700770077007,0.0005018917458111,0.0004850302041536,0.00023681450658,0.0008975195822454,0.0012824166429182,0.0,0.0033702677746999,0.0183755623964006,0.0001228199459592,0.0,0.0079784180920675,0.0,0.0026807129755914,0.0001488759863034,0.0
